driverId,best_race_lap_ms,best_qualifying_ms,diff_ms
3,68491,91494.0,-23003.0
3,68491,96535.0,-28044.0
3,68491,79486.0,-10995.0
3,68491,100060.0,-31569.0
3,68491,85421.0,-16930.0
3,68491,96388.0,-27897.0
3,68491,94670.0,-26179.0
3,68491,85574.0,-17083.0
3,68491,82569.0,-14078.0
3,68491,74741.0,-6250.0
3,68491,73814.0,-5323.0
3,68491,98231.0,-29740.0
3,68491,92209.0,-23718.0
3,68491,91263.0,-22772.0
3,68491,81098.0,-12607.0
3,68491,110552.0,-42061.0
3,68491,106013.0,-37522.0
3,68491,,
3,68491,97754.0,-29263.0
3,68491,85451.0,-16960.0
3,68491,99420.0,-30929.0
3,68491,72569.0,-4078.0
3,68491,85469.0,-16978.0
3,68491,96664.0,-28173.0
3,68491,95121.0,-26630.0
3,68491,92821.0,-24330.0
3,68491,82882.0,-14391.0
3,68491,74448.0,-5957.0
3,68491,74411.0,-5920.0
3,68491,98504.0,-30013.0
3,68491,107724.0,-39233.0
3,68491,75988.0,-7497.0
3,68491,81895.0,-13404.0
3,68491,110181.0,-41690.0
3,68491,84515.0,-16024.0
3,68491,107943.0,-39452.0
3,68491,92625.0,-24134.0
3,68491,98361.0,-29870.0
3,68491,85976.0,-17485.0
3,68491,101603.0,-33112.0
3,68491,98501.0,-30010.0
3,68491,73489.0,-4998.0
3,68491,88523.0,-20032.0
3,68491,96190.0,-27699.0
3,68491,94861.0,-26370.0
3,68491,92330.0,-23839.0
3,68491,80718.0,-12227.0
3,68491,73876.0,-5385.0
3,68491,83840.0,-15349.0
3,68491,90059.0,-21568.0
3,68491,90326.0,-21835.0
3,68491,79720.0,-11229.0
3,68491,108552.0,-40061.0
3,68491,84192.0,-15701.0
3,68491,102932.0,-34441.0
3,68491,97679.0,-29188.0
3,68491,91397.0,-22906.0
3,68491,84871.0,-16380.0
3,68491,100419.0,-31928.0
3,68491,98364.0,-29873.0
3,68491,85556.0,-17065.0
3,68491,92564.0,-24073.0
3,68491,117183.0,-48692.0
3,68491,93185.0,-24694.0
3,68491,83335.0,-14844.0
3,68491,115143.0,-46652.0
3,68491,85400.0,-16909.0
3,68491,75989.0,-7498.0
3,68491,74874.0,-6383.0
3,68491,68944.0,-453.0
3,68491,95179.0,-26688.0
3,68491,76540.0,-8049.0
3,68491,82715.0,-14224.0
3,68491,125591.0,-57100.0
3,68491,84383.0,-15892.0
3,68491,105688.0,-37197.0
3,68491,92506.0,-24015.0
3,68491,98606.0,-30115.0
3,68491,96067.0,-27576.0
3,68491,70023.0,-1532.0
3,68491,100480.0,-31989.0
3,68491,86921.0,-18430.0
3,68491,99374.0,-30883.0
